address	function_address	category
11026	0x11020	dynamic_loader_resolver
11290	0x11290	direct_import_slot
17314	0x172f0	allocation_error_hook_pointer
176d3	0x17620	import_address_in_register
176db	0x17620	import_address_in_register
17851	0x17730	register_value_flow_open
17859	0x17730	register_value_flow_open
17aaf	0x17a30	direct_import_slot
17ae1	0x17a30	direct_import_slot
1841a	0x183d0	direct_import_slot
1842f	0x183d0	direct_import_slot
18964	0x18960	direct_import_slot
1d905	0x1d8b0	direct_import_slot
1e9a8	0x1e8e0	import_address_in_register
1eaee	0x1ea20	import_address_in_register
1ebb2	0x1eb70	import_address_in_register
1ebd9	0x1eb70	import_address_in_register
1ec15	0x1eb70	direct_import_slot
1ec71	0x1eb70	register_value_flow_open
1ecb1	0x1eb70	register_value_flow_open
1ecda	0x1eb70	register_value_flow_open
1edf9	0x1eda0	direct_import_slot
1ee48	0x1eda0	import_address_in_register
1ee5d	0x1eda0	import_address_in_register
1ee93	0x1eda0	direct_import_slot
1eee1	0x1eda0	register_value_flow_open
1ef1e	0x1eda0	register_value_flow_open
1ef5e	0x1eda0	register_value_flow_open
1ef7c	0x1eda0	register_value_flow_open
1f473	0x1f400	direct_import_slot
1f4b4	0x1f400	direct_import_slot
1f500	0x1f400	direct_import_slot
1f556	0x1f400	direct_import_slot
1f6c6	0x1f630	import_address_in_register
1f6fb	0x1f630	import_address_in_register
1f75b	0x1f630	import_address_in_register
1f7ba	0x1f630	direct_import_slot
1f83b	0x1f630	direct_import_slot
1f8ab	0x1f630	direct_import_slot
1f902	0x1f630	direct_import_slot
1f941	0x1f630	import_address_in_register
1f997	0x1f630	import_address_in_register
1f9c8	0x1f630	import_address_in_register
1fa16	0x1f630	import_address_in_register
1fb0a	0x1fab0	direct_import_slot
1fb3b	0x1fab0	direct_import_slot
1fb6e	0x1fab0	direct_import_slot
1fbdc	0x1fab0	direct_import_slot
1fc47	0x1fab0	import_address_in_register
1fc62	0x1fab0	import_address_in_register
1fee6	0x1fe60	fixed_local_nonleaf
206d8	0x203b0	open_vtable_dispatch
20774	0x20720	register_value_flow_open
20804	0x207b0	register_value_flow_open
20874	0x207b0	register_value_flow_open
20944	0x208f0	register_value_flow_open
209fc	0x209d0	direct_import_slot
20acb	0x209d0	import_address_in_register
20add	0x209d0	import_address_in_register
20aef	0x209d0	import_address_in_register
20b01	0x209d0	import_address_in_register
20b3b	0x209d0	import_address_in_register
20b5e	0x209d0	direct_import_slot
20bbe	0x209d0	fixed_local_nonleaf
20c2a	0x209d0	direct_import_slot
