address	function_address	category	entropy_disposition
11026	0x11020	dynamic_loader_resolver	not_excluded
11290	0x11290	direct_import_slot	not_excluded
17314	0x172f0	allocation_error_hook_pointer	not_excluded
176d3	0x17620	import_address_in_register	not_excluded
176db	0x17620	import_address_in_register	not_excluded
17851	0x17730	register_value_flow_open	not_excluded
17859	0x17730	register_value_flow_open	not_excluded
17aaf	0x17a30	direct_import_slot	not_excluded
17ae1	0x17a30	direct_import_slot	not_excluded
1841a	0x183d0	direct_import_slot	not_excluded
1842f	0x183d0	direct_import_slot	not_excluded
18964	0x18960	direct_import_slot	not_excluded
1d905	0x1d8b0	direct_import_slot	not_excluded
1e9a8	0x1e8e0	import_address_in_register	not_excluded
1eaee	0x1ea20	import_address_in_register	not_excluded
1ebb2	0x1eb70	import_address_in_register	not_excluded
1ebd9	0x1eb70	import_address_in_register	not_excluded
1ec15	0x1eb70	direct_import_slot	not_excluded
1ec71	0x1eb70	register_value_flow_open	not_excluded
1ecb1	0x1eb70	register_value_flow_open	not_excluded
1ecda	0x1eb70	register_value_flow_open	not_excluded
1edf9	0x1eda0	direct_import_slot	not_excluded
1ee48	0x1eda0	import_address_in_register	not_excluded
1ee5d	0x1eda0	import_address_in_register	not_excluded
1ee93	0x1eda0	direct_import_slot	not_excluded
1eee1	0x1eda0	register_value_flow_open	not_excluded
1ef1e	0x1eda0	register_value_flow_open	not_excluded
1ef5e	0x1eda0	register_value_flow_open	not_excluded
1ef7c	0x1eda0	register_value_flow_open	not_excluded
1f473	0x1f400	direct_import_slot	not_excluded
1f4b4	0x1f400	direct_import_slot	not_excluded
1f500	0x1f400	direct_import_slot	not_excluded
1f556	0x1f400	direct_import_slot	not_excluded
1f6c6	0x1f630	import_address_in_register	not_excluded
1f6fb	0x1f630	import_address_in_register	not_excluded
1f75b	0x1f630	import_address_in_register	not_excluded
1f7ba	0x1f630	direct_import_slot	not_excluded
1f83b	0x1f630	direct_import_slot	not_excluded
1f8ab	0x1f630	direct_import_slot	not_excluded
1f902	0x1f630	direct_import_slot	not_excluded
1f941	0x1f630	import_address_in_register	not_excluded
1f997	0x1f630	import_address_in_register	not_excluded
1f9c8	0x1f630	import_address_in_register	not_excluded
1fa16	0x1f630	import_address_in_register	not_excluded
1fb0a	0x1fab0	direct_import_slot	not_excluded
1fb3b	0x1fab0	direct_import_slot	not_excluded
1fb6e	0x1fab0	direct_import_slot	not_excluded
1fbdc	0x1fab0	direct_import_slot	not_excluded
1fc47	0x1fab0	import_address_in_register	not_excluded
1fc62	0x1fab0	import_address_in_register	not_excluded
1fee6	0x1fe60	fixed_local_nonleaf	not_excluded
206d8	0x203b0	open_vtable_dispatch	not_excluded
20774	0x20720	register_value_flow_open	not_excluded
20804	0x207b0	register_value_flow_open	not_excluded
20874	0x207b0	register_value_flow_open	not_excluded
20944	0x208f0	register_value_flow_open	not_excluded
209fc	0x209d0	direct_import_slot	not_excluded
20acb	0x209d0	import_address_in_register	not_excluded
20add	0x209d0	import_address_in_register	not_excluded
20aef	0x209d0	import_address_in_register	not_excluded
20b01	0x209d0	import_address_in_register	not_excluded
20b3b	0x209d0	import_address_in_register	not_excluded
20b5e	0x209d0	direct_import_slot	not_excluded
20bbe	0x209d0	fixed_local_nonleaf	not_excluded
20c2a	0x209d0	direct_import_slot	not_excluded
20f76	0x20e20	direct_import_slot	not_excluded
2103a	0x20e20	direct_import_slot	not_excluded
21247	0x20e20	direct_import_slot	not_excluded
21298	0x20e20	direct_import_slot	not_excluded
21677	0x21640	direct_import_slot	not_excluded
21724	0x216b0	fixed_local_nonleaf	not_excluded
21771	0x216b0	direct_import_slot	not_excluded
21792	0x216b0	direct_import_slot	not_excluded
2190b	0x21800	import_address_in_register	not_excluded
2191d	0x21800	import_address_in_register	not_excluded
2192f	0x21800	import_address_in_register	not_excluded
21941	0x21800	import_address_in_register	not_excluded
2197b	0x21800	import_address_in_register	not_excluded
2199d	0x21800	direct_import_slot	not_excluded
21c35	0x21b30	import_address_in_register	not_excluded
21db9	0x21b30	import_address_in_register	not_excluded
21dd1	0x21b30	import_address_in_register	not_excluded
21e6a	0x21b30	import_address_in_register	not_excluded
21e9d	0x21b30	direct_import_slot	not_excluded
21eea	0x21b30	direct_import_slot	not_excluded
21f37	0x21b30	direct_import_slot	not_excluded
220a2	0x21b30	import_address_in_register	not_excluded
220ba	0x21b30	import_address_in_register	not_excluded
220d9	0x21b30	import_address_in_register	not_excluded
220f1	0x21b30	import_address_in_register	not_excluded
22107	0x21b30	import_address_in_register	not_excluded
221dc	0x21b30	import_address_in_register	not_excluded
221fb	0x21b30	import_address_in_register	not_excluded
22232	0x21b30	import_address_in_register	not_excluded
2226f	0x21b30	import_address_in_register	not_excluded
2228a	0x21b30	import_address_in_register	not_excluded
222b5	0x21b30	import_address_in_register	not_excluded
222d0	0x21b30	import_address_in_register	not_excluded
223a0	0x21b30	direct_import_slot	not_excluded
223ca	0x21b30	import_address_in_register	not_excluded
223e7	0x21b30	register_value_flow_open	not_excluded
2246a	0x21b30	import_address_in_register	not_excluded
2248e	0x21b30	import_address_in_register	not_excluded
224b4	0x21b30	import_address_in_register	not_excluded
2251b	0x21b30	import_address_in_register	not_excluded
22531	0x21b30	import_address_in_register	not_excluded
2254c	0x21b30	import_address_in_register	not_excluded
2257e	0x21b30	import_address_in_register	not_excluded
22599	0x21b30	import_address_in_register	not_excluded
225ca	0x21b30	import_address_in_register	not_excluded
225e2	0x21b30	import_address_in_register	not_excluded
225fa	0x21b30	import_address_in_register	not_excluded
22614	0x21b30	import_address_in_register	not_excluded
226aa	0x21b30	import_address_in_register	not_excluded
226c2	0x21b30	import_address_in_register	not_excluded
226e8	0x21b30	import_address_in_register	not_excluded
2271f	0x21b30	register_value_flow_open	not_excluded
2275f	0x21b30	register_value_flow_open	not_excluded
2276c	0x21b30	register_value_flow_open	not_excluded
22792	0x21b30	register_value_flow_open	not_excluded
227bd	0x21b30	register_value_flow_open	not_excluded
227cf	0x21b30	register_value_flow_open	not_excluded
227e6	0x21b30	register_value_flow_open	not_excluded
22864	0x21b30	import_address_in_register	not_excluded
2288a	0x21b30	import_address_in_register	not_excluded
228f8	0x21b30	import_address_in_register	not_excluded
22970	0x21b30	import_address_in_register	not_excluded
2298f	0x21b30	import_address_in_register	not_excluded
229c6	0x21b30	import_address_in_register	not_excluded
22a68	0x21b30	import_address_in_register	not_excluded
22a9b	0x21b30	import_address_in_register	not_excluded
22aba	0x21b30	import_address_in_register	not_excluded
22ad5	0x21b30	import_address_in_register	not_excluded
22af0	0x21b30	import_address_in_register	not_excluded
22b3b	0x21b30	direct_import_slot	not_excluded
22b7f	0x21b30	import_address_in_register	not_excluded
22ba6	0x21b30	import_address_in_register	not_excluded
22bc5	0x21b30	import_address_in_register	not_excluded
22c01	0x21b30	direct_import_slot	not_excluded
22c54	0x21b30	direct_import_slot	not_excluded
22c94	0x21b30	import_address_in_register	not_excluded
22cb8	0x21b30	import_address_in_register	not_excluded
22ce8	0x21b30	import_address_in_register	not_excluded
22d40	0x21b30	import_address_in_register	not_excluded
22d5f	0x21b30	import_address_in_register	not_excluded
22d77	0x21b30	import_address_in_register	not_excluded
22dcd	0x21b30	import_address_in_register	not_excluded
22df1	0x21b30	import_address_in_register	not_excluded
22e1f	0x21b30	import_address_in_register	not_excluded
22e77	0x21b30	import_address_in_register	not_excluded
22e96	0x21b30	import_address_in_register	not_excluded
22eae	0x21b30	import_address_in_register	not_excluded
22f02	0x21b30	direct_import_slot	not_excluded
22f1d	0x21b30	direct_import_slot	not_excluded
22f9a	0x21b30	direct_import_slot	not_excluded
22fe4	0x21b30	direct_import_slot	not_excluded
23021	0x21b30	import_address_in_register	not_excluded
23041	0x21b30	import_address_in_register	not_excluded
23059	0x21b30	import_address_in_register	not_excluded
232bc	0x21b30	fixed_local_nonleaf	not_excluded
23338	0x21b30	fixed_local_nonleaf	not_excluded
233d0	0x21b30	import_address_in_register	not_excluded
2341d	0x21b30	import_address_in_register	not_excluded
234d1	0x21b30	import_address_in_register	not_excluded
234e4	0x21b30	import_address_in_register	not_excluded
234ff	0x21b30	import_address_in_register	not_excluded
23537	0x21b30	import_address_in_register	not_excluded
