kind=1 k=0 component=0 actual=1106 reserved=1106
kind=1 k=0 component=1 actual=11 reserved=11
kind=1 k=0 component=2 actual=1026 reserved=1026
kind=1 k=0 component=3 actual=48 reserved=48
kind=1 k=0 component=4 actual=8 reserved=8
kind=1 k=0 component=5 actual=9 reserved=9
kind=1 k=0 component=6 actual=8 reserved=8
kind=1 k=0 component=7 actual=6 reserved=6
kind=1 k=0 component=8 actual=66 reserved=66
kind=2 k=1 component=0 actual=1100 reserved=1100
kind=2 k=1 component=1 actual=10 reserved=10
kind=2 k=1 component=2 actual=1026 reserved=1026
kind=2 k=1 component=3 actual=46 reserved=46
kind=2 k=1 component=4 actual=8 reserved=8
kind=2 k=1 component=5 actual=9 reserved=9
kind=2 k=1 component=6 actual=7 reserved=7
kind=2 k=1 component=7 actual=6 reserved=6
kind=2 k=1 component=8 actual=66 reserved=66
kind=2 k=2 component=0 actual=1130 reserved=1130
kind=2 k=2 component=1 actual=12 reserved=12
kind=2 k=2 component=2 actual=1026 reserved=1026
kind=2 k=2 component=3 actual=51 reserved=51
kind=2 k=2 component=4 actual=8 reserved=8
kind=2 k=2 component=5 actual=9 reserved=9
kind=2 k=2 component=6 actual=9 reserved=9
kind=2 k=2 component=7 actual=8 reserved=8
kind=2 k=2 component=8 actual=66 reserved=66
kind=2 k=3 component=0 actual=2202 reserved=2202
kind=2 k=3 component=1 actual=14 reserved=14
kind=2 k=3 component=2 actual=2050 reserved=2050
kind=2 k=3 component=3 actual=66 reserved=66
kind=2 k=3 component=4 actual=16 reserved=16
kind=2 k=3 component=5 actual=10 reserved=10
kind=2 k=3 component=6 actual=11 reserved=11
kind=2 k=3 component=7 actual=10 reserved=10
kind=2 k=3 component=8 actual=66 reserved=66
kind=2 k=4 component=0 actual=2248 reserved=2248
kind=2 k=4 component=1 actual=16 reserved=16
kind=2 k=4 component=2 actual=2050 reserved=2050
kind=2 k=4 component=3 actual=71 reserved=71
kind=2 k=4 component=4 actual=16 reserved=16
kind=2 k=4 component=5 actual=10 reserved=10
kind=2 k=4 component=6 actual=13 reserved=13
kind=2 k=4 component=7 actual=12 reserved=12
kind=2 k=4 component=8 actual=66 reserved=66
kind=2 k=5 component=0 actual=2302 reserved=2302
kind=2 k=5 component=1 actual=18 reserved=18
kind=2 k=5 component=2 actual=2050 reserved=2050
kind=2 k=5 component=3 actual=76 reserved=76
kind=2 k=5 component=4 actual=16 reserved=16
kind=2 k=5 component=5 actual=10 reserved=10
kind=2 k=5 component=6 actual=15 reserved=15
kind=2 k=5 component=7 actual=14 reserved=14
kind=2 k=5 component=8 actual=66 reserved=66
kind=2 k=6 component=0 actual=2364 reserved=2364
kind=2 k=6 component=1 actual=20 reserved=20
kind=2 k=6 component=2 actual=2050 reserved=2050
kind=2 k=6 component=3 actual=81 reserved=81
kind=2 k=6 component=4 actual=16 reserved=16
kind=2 k=6 component=5 actual=10 reserved=10
kind=2 k=6 component=6 actual=17 reserved=17
kind=2 k=6 component=7 actual=16 reserved=16
kind=2 k=6 component=8 actual=66 reserved=66
kind=2 k=7 component=0 actual=4500 reserved=4500
kind=2 k=7 component=1 actual=22 reserved=22
kind=2 k=7 component=2 actual=4098 reserved=4098
kind=2 k=7 component=3 actual=104 reserved=104
kind=2 k=7 component=4 actual=32 reserved=32
kind=2 k=7 component=5 actual=11 reserved=11
kind=2 k=7 component=6 actual=19 reserved=19
kind=2 k=7 component=7 actual=18 reserved=18
kind=2 k=7 component=8 actual=66 reserved=66
kind=2 k=8 component=0 actual=4578 reserved=4578
kind=2 k=8 component=1 actual=24 reserved=24
kind=2 k=8 component=2 actual=4098 reserved=4098
kind=2 k=8 component=3 actual=109 reserved=109
kind=2 k=8 component=4 actual=32 reserved=32
kind=2 k=8 component=5 actual=11 reserved=11
kind=2 k=8 component=6 actual=21 reserved=21
kind=2 k=8 component=7 actual=20 reserved=20
kind=2 k=8 component=8 actual=66 reserved=66
verified SEND and COLLECT k=1..8: 9 fixtures

